Data,Operação,Ticker,Classe,Quantidade,Preço,Taxa de Liquidação/CCP,Emolumentos,Taxa de transferencia de ativos,Taxas totais,Quantidade/dia,Taxa proporcional,Preço médio com taxas,Custo total com taxas
2025-11-24,Compra,MCCI11,FII,116,"R$ 86,48","R$ 4,50","R$ 1,00","R$ 0,52","R$ 6,02",246,"R$ 2,84","R$ 86,50","R$ 10.034,52"
2025-11-24,Compra,RECR11,FII,130,"R$ 77,40",,,,"R$ 6,02",246,"R$ 3,18","R$ 77,42","R$ 10.065,18"
2025-11-14,Compra,TGAR11,FII,117,"R$ 85,30","R$ 2,23","R$ 0,49",,"R$ 2,72",117,"R$ 2,72","R$ 85,32","R$ 9.982,82"
2025-10-30,Compra,M1TA34,BDR,40,"R$ 127,03","R$ 1,13","R$ 0,25","R$ 0,13","R$ 1,51",40,"R$ 1,51","R$ 127,07","R$ 5.082,71"
2025-10-29,Compra,N1OW34,BDR,51,"R$ 98,27","R$ 2,22","R$ 0,49","R$ 0,25","R$ 2,96",67,"R$ 2,25","R$ 98,31","R$ 5.014,02"
2025-10-29,Compra,W1MB34,BDR,16,"R$ 306,90",,,,"R$ 2,96",67,"R$ 0,71","R$ 306,94","R$ 4.911,11"
2025-10-22,Venda,B2YN34,BDR,67,"R$ 23,00","R$ 0,34","R$ 0,07","R$ 0,04","R$ 0,45",67,"R$ 0,45","R$ 23,01","R$ 1.541,45"
2025-10-21,Compra,AMZO34,BDR,99,"R$ 59,94","R$ 1,56","R$ 0,34","R$ 0,18","R$ 2,08",167,"R$ 1,23","R$ 59,95","R$ 5.935,29"
2025-10-21,Compra,AMZO34,BDR,1,"R$ 59,93",,,,"R$ 2,08",167,"R$ 0,01","R$ 59,94","R$ 59,94"
2025-10-21,Compra,B2YN34,BDR,67,"R$ 15,00",,,,"R$ 2,08",167,"R$ 0,83","R$ 15,01","R$ 1.005,83"
2025-10-20,Compra,PETR4,Ação,170,"R$ 29,64","R$ 1,12","R$ 0,25","R$ 0,13","R$ 1,50",170,"R$ 1,50","R$ 29,65","R$ 5.040,30"
2025-10-16,Compra,PETR4,Ação,170,"R$ 29,55","R$ 1,12","R$ 0,25","R$ 0,13","R$ 1,50",170,"R$ 1,50","R$ 29,56","R$ 5.025,00"
2025-10-02,Compra,RECR11,FII,14,"R$ 79,30","R$ 0,24","R$ 0,07","R$ 0,01","R$ 0,32",14,"R$ 0,32","R$ 79,32","R$ 1.110,52"
2025-09-16,Compra,MSFT34,BDR,45,"R$ 112,60","R$ 1,13","R$ 0,25","R$ 0,13","R$ 1,51",45,"R$ 1,51","R$ 112,63","R$ 5.068,51"
2025-08-20,Compra,BBAS3,Ação,200,"R$ 19,76","R$ 3,42","R$ 0,76","R$ 0,39","R$ 4,57",510,"R$ 1,79","R$ 19,77","R$ 3.953,79"
2025-08-20,Compra,BBAS3,Ação,53,"R$ 19,77",,,,"R$ 4,57",510,"R$ 0,47","R$ 19,78","R$ 1.048,28"
2025-08-20,Compra,BBSE3,Ação,157,"R$ 31,80",,,,"R$ 4,57",510,"R$ 1,41","R$ 31,81","R$ 4.994,01"
2025-08-20,Compra,VALE3,Ação,100,"R$ 52,90",,,,"R$ 4,57",510,"R$ 0,90","R$ 52,91","R$ 5.290,90"
2025-08-19,Compra,BBSE3,Ação,155,"R$ 32,19","R$ 3,33","R$ 0,74","R$ 0,38","R$ 4,45",459,"R$ 1,50","R$ 32,20","R$ 4.990,95"
2025-08-19,Compra,BBSE3,Ação,304,"R$ 32,50",,,,"R$ 4,45",459,"R$ 2,95","R$ 32,51","R$ 9.882,95"
2025-08-18,Compra,BBAS3,Ação,246,"R$ 20,30","R$ 3,35","R$ 0,74","R$ 0,38","R$ 4,47",578,"R$ 1,90","R$ 20,31","R$ 4.995,70"
2025-08-18,Compra,PETR4,Ação,332,"R$ 30,10",,,,"R$ 4,47",578,"R$ 2,57","R$ 30,11","R$ 9.995,77"
2025-08-12,Compra,BBAS3,Ação,104,"R$ 19,38","R$ 0,45","R$ 0,10","R$ 0,05","R$ 1,30",132,"R$ 1,02","R$ 19,39","R$ 2.016,54"
2025-08-12,Compra,RECR11,FII,28,"R$ 81,52","R$ 0,51","R$ 0,16","R$ 0,03","R$ 1,30",132,"R$ 0,28","R$ 81,53","R$ 2.282,84"
2025-07-14,Compra,MCCI11,FII,23,"R$ 86,90","R$ 0,49","R$ 0,09","R$ 0,03","R$ 0,61",23,"R$ 0,61","R$ 86,93","R$ 1.999,31"
2025-07-03,Compra,SPYI11,ETF,40,"R$ 110,27","R$ 2,21","R$ 0,44",,"R$ 2,65",240,"R$ 0,44","R$ 110,28","R$ 4.411,24"
2025-07-03,Compra,BBAS3,Ação,200,"R$ 22,27",,,,"R$ 2,65",240,"R$ 2,21","R$ 22,28","R$ 4.456,21"
2025-06-11,Compra,SPYI11,ETF,45,"R$ 110,83","R$ 2,32","R$ 0,46",,"R$ 2,78",245,"R$ 0,51","R$ 110,84","R$ 4.987,86"
2025-06-11,Compra,BBAS3,Ação,200,"R$ 21,58",,,,"R$ 2,78",245,"R$ 2,27","R$ 21,59","R$ 4.318,27"
2025-05-07,Compra,PETR4,Ação,100,"R$ 30,06","R$ 0,75","R$ 0,15",,"R$ 0,90",100,"R$ 0,90","R$ 30,07","R$ 3.006,90"
2025-04-17,Compra,PETR4,Ação,100,"R$ 30,64","R$ 0,76","R$ 0,15",,"R$ 0,91",100,"R$ 0,91","R$ 30,65","R$ 3.064,91"
2025-04-08,Compra,BBAS3,Ação,75,"R$ 27,58","R$ 0,51","R$ 0,10",,"R$ 0,61",75,"R$ 0,61","R$ 27,59","R$ 2.069,11"
2025-04-07,Compra,VALE3,Ação,40,"R$ 51,33","R$ 0,51","R$ 0,10",,"R$ 0,61",40,"R$ 0,61","R$ 51,35","R$ 2.053,81"
2025-04-04,Compra,SPYI11,ETF,20,"R$ 103,27","R$ 1,50","R$ 0,30",,"R$ 1,80",94,"R$ 0,38","R$ 103,29","R$ 2.065,78"
2025-04-04,Compra,VALE3,Ação,74,"R$ 53,44",,,,"R$ 1,80",94,"R$ 1,42","R$ 53,46","R$ 3.955,98"
2025-04-03,Compra,RECR11,FII,31,"R$ 83,94","R$ 0,65","R$ 0,13","R$ 0,04","R$ 0,82",31,"R$ 0,82","R$ 83,97","R$ 2.602,96"
2025-03-27,Compra,MCCI11,FII,31,"R$ 84,00","R$ 1,29","R$ 0,25","R$ 0,09","R$ 1,63",63,"R$ 0,80","R$ 84,03","R$ 2.604,80"
2025-03-27,Compra,RECR11,FII,32,"R$ 80,96",,,,"R$ 1,63",63,"R$ 0,83","R$ 80,99","R$ 2.591,55"
2025-03-25,Venda,RBRP11,FII,151,"R$ 45,22","-R$ 1,70","-R$ 0,34","-R$ 0,12","-R$ 2,16",151,"-R$ 2,16","R$ 45,21","R$ 6.826,06"
2025-03-18,Compra,SPYI11,ETF,37,"R$ 110,30","R$ 1,02","R$ 0,20",,"R$ 1,22",37,"R$ 1,22","R$ 110,33","R$ 4.082,32"
2025-01-23,Compra,SPYI11,ETF,17,"R$ 123,47","R$ 0,52","R$ 0,10",,"R$ 0,62",17,"R$ 0,62","R$ 123,51","R$ 2.099,61"
2025-01-14,Compra,SPYI11,ETF,10,"R$ 123,30","R$ 0,30","R$ 0,06",,"R$ 0,36",10,"R$ 0,36","R$ 123,34","R$ 1.233,36"
2025-01-10,Compra,SPYI11,ETF,8,"R$ 124,55","R$ 0,50","R$ 0,10",,"R$ 0,60",28,"R$ 0,17","R$ 124,57","R$ 996,57"
2025-01-10,Compra,VALE3,Ação,20,"R$ 52,01",,,,"R$ 0,60",28,"R$ 0,43","R$ 52,03","R$ 1.040,63"
2025-01-08,Compra,TGAR11,FII,24,"R$ 85,10","R$ 0,51","R$ 0,10","R$ 0,03","R$ 0,64",24,"R$ 0,64","R$ 85,13","R$ 2.043,04"
2025-01-02,Compra,SPYI11,ETF,8,"R$ 125,85","R$ 0,25","R$ 0,05",,"R$ 0,30",8,"R$ 0,30","R$ 125,89","R$ 1.007,10"
2024-12-19,Compra,SPYI11,ETF,10,"R$ 126,94","R$ 0,57","R$ 0,13",,"R$ 0,70",22,"R$ 0,32","R$ 126,97","R$ 1.269,72"
2024-12-19,Compra,HASH11,ETF,12,"R$ 85,75",,,,"R$ 0,70",22,"R$ 0,38","R$ 85,78","R$ 1.029,38"
2024-12-13,Compra,VALE3,Ação,20,"R$ 56,00","R$ 0,28","R$ 0,05",,"R$ 0,33",20,"R$ 0,33","R$ 56,02","R$ 1.120,33"
2024-11-26,Compra,TGAR11,FII,51,"R$ 99,70","R$ 1,27","R$ 0,25","R$ 0,08","R$ 1,60",51,"R$ 1,60","R$ 99,73","R$ 5.086,30"
2024-11-18,Compra,RECR11,FII,23,"R$ 75,88","R$ 0,43","R$ 0,08","R$ 0,03","R$ 0,54",23,"R$ 0,54","R$ 75,90","R$ 1.745,78"
2024-11-12,Compra,VALE3,Ação,52,"R$ 57,60","R$ 1,25","R$ 0,25",,"R$ 1,50",87,"R$ 0,90","R$ 57,62","R$ 2.996,10"
2024-11-12,Compra,VALE3,Ação,35,"R$ 58,02",,,,"R$ 1,50",87,"R$ 0,60","R$ 58,04","R$ 2.031,30"
2024-06-26,Compra,RECR11,FII,27,"R$ 86,49","R$ 0,58","R$ 0,11","R$ 0,04","R$ 0,73",27,"R$ 0,73","R$ 86,52","R$ 2.335,96"
2022-10-18,Compra,RECR11,FII,6,"R$ 87,13","R$ 0,13","R$ 0,02",,"R$ 0,15",6,"R$ 0,15","R$ 87,16","R$ 522,93"
2022-08-17,Compra,RECR11,FII,9,"R$ 95,69","R$ 0,21","R$ 0,04",,"R$ 0,25",9,"R$ 0,25","R$ 95,72","R$ 861,46"
2022-06-23,Compra,MCCI11,FII,10,"R$ 96,98","R$ 0,24","R$ 0,04",,"R$ 0,28",10,"R$ 0,28","R$ 97,01","R$ 970,08"
2022-05-19,Compra,MCCI11,FII,6,"R$ 97,95","R$ 0,14","R$ 0,02",,"R$ 0,16",6,"R$ 0,16","R$ 97,98","R$ 587,86"
2022-04-20,Compra,MCCI11,FII,3,"R$ 100,40","R$ 0,07","R$ 0,01",,"R$ 0,08",3,"R$ 0,08","R$ 100,43","R$ 301,28"
2022-03-25,Compra,MCCI11,FII,6,"R$ 99,80","R$ 0,14","R$ 0,02",,"R$ 0,16",6,"R$ 0,16","R$ 99,83","R$ 598,96"
2022-02-23,Compra,MCCI11,FII,16,"R$ 99,80","R$ 0,40","R$ 0,08",,"R$ 0,48",16,"R$ 0,48","R$ 99,83","R$ 1.597,28"
2022-02-09,Compra,MCCI11,FII,30,"R$ 101,37","R$ 2,26","R$ 0,45",,"R$ 2,71",102,"R$ 0,80","R$ 101,40","R$ 3.041,90"
2022-02-09,Compra,RBRP11,FII,42,"R$ 70,59",,,,"R$ 2,71",102,"R$ 1,12","R$ 70,62","R$ 2.965,90"
2022-02-09,Compra,RECR11,FII,30,"R$ 100,93",,,,"R$ 2,71",102,"R$ 0,80","R$ 100,96","R$ 3.028,70"
2022-01-04,Compra,RBRP11,FII,16,"R$ 77,84","R$ 0,66","R$ 0,13",,"R$ 0,79",30,"R$ 0,42","R$ 77,87","R$ 1.245,86"
2022-01-04,Compra,RECR11,FII,14,"R$ 100,70",,,,"R$ 0,79",30,"R$ 0,37","R$ 100,73","R$ 1.410,17"
2021-10-29,Compra,RBRP11,FII,10,"R$ 72,70","R$ 1,03","R$ 0,20",,"R$ 1,23",49,"R$ 0,25","R$ 72,73","R$ 727,25"
2021-10-29,Compra,RBRP11,FII,2,"R$ 72,68",,,,"R$ 1,23",49,"R$ 0,05","R$ 72,71","R$ 145,41"
2021-10-29,Compra,RBRP11,FII,16,"R$ 72,69",,,,"R$ 1,23",49,"R$ 0,40","R$ 72,72","R$ 1.163,44"
2021-10-29,Compra,RECR11,FII,21,"R$ 99,43",,,,"R$ 1,23",49,"R$ 0,53","R$ 99,46","R$ 2.088,56"
2021-09-17,Compra,MCCI11,FII,21,"R$ 101,22","R$ 0,53","R$ 0,10",,"R$ 0,63",21,"R$ 0,63","R$ 101,25","R$ 2.126,25"
2021-08-17,Compra,RBRP11,FII,9,"R$ 77,65","R$ 0,95","R$ 0,19",,"R$ 1,14",43,"R$ 0,24","R$ 77,68","R$ 699,09"
2021-08-17,Compra,RBRP11,FII,14,"R$ 75,75",,,,"R$ 1,14",43,"R$ 0,37","R$ 75,78","R$ 1.060,87"
2021-08-17,Compra,RECR11,FII,20,"R$ 102,22",,,,"R$ 1,14",43,"R$ 0,53","R$ 102,25","R$ 2.044,93"
2021-07-16,Compra,MCCI11,FII,15,"R$ 103,03","R$ 1,15","R$ 0,23",,"R$ 1,38",48,"R$ 0,43","R$ 103,06","R$ 1.545,93"
2021-07-16,Compra,RBRP11,FII,18,"R$ 84,06",,,,"R$ 1,38",48,"R$ 0,52","R$ 84,09","R$ 1.513,60"
2021-07-16,Compra,RECR11,FII,15,"R$ 104,20",,,,"R$ 1,38",48,"R$ 0,43","R$ 104,23","R$ 1.563,43"
2021-07-12,Compra,RECR11,FII,30,"R$ 103,85","R$ 0,77","R$ 0,15",,"R$ 0,92",30,"R$ 0,92","R$ 103,88","R$ 3.116,42"
2021-07-07,Venda,HSML11,FII,39,"R$ 86,15","-R$ 0,83","R$ 0,16",,"-R$ 0,67",39,"-R$ 0,67","R$ 86,13","R$ 3.359,18"
2021-06-24,Compra,MCCI11,FII,1,"R$ 102,71","R$ 0,02",,,"R$ 0,02",1,"R$ 0,02","R$ 102,73","R$ 102,73"
2021-06-17,Compra,MCCI11,FII,28,"R$ 102,76","R$ 0,71","R$ 0,14",,"R$ 0,85",28,"R$ 0,85","R$ 102,79","R$ 2.878,13"
2021-06-08,Compra,HASH11,ETF,9,"R$ 31,90",,,,"R$ 0,11",25,"R$ 0,04","R$ 31,90","R$ 287,14"
2021-06-08,Compra,HASH11,ETF,16,"R$ 30,65",,,,"R$ 0,11",25,"R$ 0,07","R$ 30,65","R$ 490,47"
2021-05-21,Compra,HASH11,ETF,12,"R$ 36,10","R$ 0,10",,"R$ 0,30","R$ 0,40",12,"R$ 0,40","R$ 36,13","R$ 433,60"
2021-03-10,Compra,HSML11,FII,12,"R$ 89,48","R$ 0,26","R$ 0,05",,"R$ 0,31",12,"R$ 0,31","R$ 89,51","R$ 1.074,07"
2021-02-19,Compra,MCCI11,FII,10,"R$ 103,47","R$ 0,25","R$ 0,05",,"R$ 0,30",10,"R$ 0,30","R$ 103,50","R$ 1.035,00"
2021-02-09,Compra,HSML11,FII,10,"R$ 96,38","R$ 0,72","R$ 0,14",,"R$ 0,86",30,"R$ 0,29","R$ 96,41","R$ 964,09"
2021-02-09,Compra,HSML11,FII,10,"R$ 96,49",,,,"R$ 0,86",30,"R$ 0,29","R$ 96,52","R$ 965,19"
2021-02-09,Compra,RBRP11,FII,10,"R$ 98,55",,,,"R$ 0,86",30,"R$ 0,29","R$ 98,58","R$ 985,79"
2020-06-29,Compra,HSML11,FII,3,"R$ 89,60","R$ 0,14","R$ 0,01",,"R$ 0,15",6,"R$ 0,08","R$ 89,63","R$ 268,88"
2020-06-29,Compra,RBRP11,FII,3,"R$ 86,80",,,,"R$ 0,15",6,"R$ 0,08","R$ 86,83","R$ 260,48"
2020-05-08,Compra,HSML11,FII,3,"R$ 80,04","R$ 0,15","R$ 0,01",,"R$ 0,16",7,"R$ 0,07","R$ 80,06","R$ 240,19"
2020-05-08,Compra,RBRP11,FII,4,"R$ 77,40",,,,"R$ 0,16",7,"R$ 0,09","R$ 77,42","R$ 309,69"
2020-03-03,Compra,HSML11,FII,1,"R$ 118,02","R$ 0,03",,,"R$ 0,03",1,"R$ 0,03","R$ 118,05","R$ 118,05"